[2021-04-09T09:22:13.210] [INFO] http - ::1 - - "GET /codefly/update_check HTTP/1.1" 200 389 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36"
[2021-04-09T17:31:29.849] [INFO] http - ::1 - - "POST /codefly/update_check HTTP/1.1" 200 389 "" "PostmanRuntime/7.26.10"
[2021-04-09T17:41:20.034] [INFO] http - ::ffff:192.168.2.1 - - "POST /codefly/update_check HTTP/1.1" 200 389 "" "PostmanRuntime/7.26.10"
[2021-04-09T17:42:18.404] [INFO] http - ::ffff:192.168.2.15 - - "POST /codefly/update_check HTTP/1.1" 200 389 "" "CodeFlyExample/1 CFNetwork/1220.1 Darwin/20.3.0"
[2021-04-09T17:43:17.861] [INFO] http - ::ffff:192.168.2.15 - - "POST /codefly/update_check HTTP/1.1" 200 389 "" "CodeFlyExample/1 CFNetwork/1220.1 Darwin/20.3.0"
[2021-04-09T17:45:48.189] [INFO] http - ::ffff:192.168.2.15 - - "POST /codefly/update_check HTTP/1.1" 200 389 "" "CodeFlyExample/1 CFNetwork/1220.1 Darwin/20.3.0"
[2021-04-09T17:46:02.252] [INFO] http - ::ffff:192.168.2.15 - - "POST /codefly/update_check HTTP/1.1" 200 389 "" "CodeFlyExample/1 CFNetwork/1220.1 Darwin/20.3.0"
[2021-04-09T17:46:41.471] [INFO] http - ::ffff:192.168.2.15 - - "POST /codefly/update_check HTTP/1.1" 200 389 "" "CodeFlyExample/1 CFNetwork/1220.1 Darwin/20.3.0"
[2021-04-09T17:46:45.557] [INFO] http - ::ffff:192.168.2.15 - - "POST /codefly/update_check HTTP/1.1" 200 389 "" "CodeFlyExample/1 CFNetwork/1220.1 Darwin/20.3.0"
[2021-04-09T17:48:57.178] [INFO] http - ::ffff:192.168.2.15 - - "POST /codefly/update_check HTTP/1.1" 200 389 "" "CodeFlyExample/1 CFNetwork/1220.1 Darwin/20.3.0"
[2021-04-09T17:48:57.213] [INFO] http - ::ffff:192.168.2.15 - - "POST /codefly/update_check HTTP/1.1" 200 389 "" "CodeFlyExample/1 CFNetwork/1220.1 Darwin/20.3.0"
[2021-04-09T17:49:51.519] [INFO] http - ::ffff:192.168.2.15 - - "POST /codefly/update_check HTTP/1.1" 200 389 "" "CodeFlyExample/1 CFNetwork/1220.1 Darwin/20.3.0"
[2021-04-09T17:49:51.594] [INFO] http - ::ffff:192.168.2.15 - - "POST /codefly/update_check HTTP/1.1" 200 389 "" "CodeFlyExample/1 CFNetwork/1220.1 Darwin/20.3.0"
[2021-04-09T17:49:58.811] [INFO] http - ::ffff:192.168.2.15 - - "POST /codefly/update_check HTTP/1.1" 200 389 "" "CodeFlyExample/1 CFNetwork/1220.1 Darwin/20.3.0"
[2021-04-09T17:49:58.849] [INFO] http - ::ffff:192.168.2.15 - - "POST /codefly/update_check HTTP/1.1" 200 389 "" "CodeFlyExample/1 CFNetwork/1220.1 Darwin/20.3.0"
[2021-04-09T17:50:11.883] [INFO] http - ::ffff:192.168.2.15 - - "POST /codefly/update_check HTTP/1.1" 200 389 "" "CodeFlyExample/1 CFNetwork/1220.1 Darwin/20.3.0"
[2021-04-09T17:50:17.074] [INFO] http - ::ffff:192.168.2.15 - - "POST /codefly/update_check HTTP/1.1" 200 389 "" "CodeFlyExample/1 CFNetwork/1220.1 Darwin/20.3.0"
